,State,Year,Type,Value
381,WA,2017,Accidents,18497.0
382,MD,2017,Accidents,12341.0
383,AR,2017,Accidents,134.0
384,KS,2017,Accidents,1737.0
385,OR,2017,Accidents,6175.0
386,MN,2017,Accidents,10434.0
387,NM,2017,Accidents,1140.0
388,MA,2017,Accidents,9046.0
389,IA,2017,Accidents,3016.0
390,NV,2017,Accidents,2504.0
391,WV,2017,Accidents,700.0
392,CT,2017,Accidents,6742.0
393,UT,2017,Accidents,4652.0
394,ID,2017,Accidents,368.0
395,NE,2017,Accidents,6203.0
396,MT,2017,Accidents,133.0
397,ME,2017,Accidents,591.0
398,DE,2017,Accidents,891.0
399,SD,2017,Accidents,12.0
400,ND,2017,Accidents,4.0
401,WY,2017,Accidents,112.0
402,NH,2017,Accidents,2036.0
403,HI,2017,Accidents,
404,RI,2017,Accidents,2865.0
405,AK,2017,Accidents,
406,VT,2017,Accidents,155.0
407,DC,2017,Accidents,763.0
408,CA,2018,Accidents,156898.0
409,TX,2018,Accidents,84111.0
410,FL,2018,Accidents,65781.0
411,GA,2018,Accidents,24632.0
412,NC,2018,Accidents,56262.0
413,PA,2018,Accidents,22230.0
414,OH,2018,Accidents,17659.0
415,TN,2018,Accidents,24474.0
416,SC,2018,Accidents,56358.0
417,IL,2018,Accidents,24088.0
418,AZ,2018,Accidents,22706.0
419,NY,2018,Accidents,38050.0
420,MI,2018,Accidents,24325.0
421,AL,2018,Accidents,14100.0
422,MO,2018,Accidents,8785.0
423,VA,2018,Accidents,27043.0
424,IN,2018,Accidents,13708.0
425,LA,2018,Accidents,20430.0
426,KY,2018,Accidents,7952.0
427,OK,2018,Accidents,20488.0
428,MS,2018,Accidents,2539.0
429,CO,2018,Accidents,14149.0
430,WI,2018,Accidents,5039.0
431,NJ,2018,Accidents,14990.0
432,WA,2018,Accidents,18984.0
433,MD,2018,Accidents,11019.0
434,AR,2018,Accidents,598.0
435,OR,2018,Accidents,22520.0
436,KS,2018,Accidents,2406.0
437,NM,2018,Accidents,2112.0
438,MN,2018,Accidents,20227.0
